DataName,OrigValueStr,StdValueStr
Treatment: Exposition,Natural,Natural environment
Treatment: Exposition,natural_environment,Natural environment
Treatment: Exposition,none,Natural environment
Treatment,None,
Treatment,Control of experimental drought,
Treatment,Control of experimental drought and warming,
Treatment,none,
Treatment: Exposition,natural envireonment,Natural environment
Treatment: Exposition,natural wetland environment,Natural environment
Treatment: Exposition,natural forest environment,Natural environment
Treatment: Exposition,natural environment (biodiversity experiment),Natural environment
Treatment: Exposition,Natural Forest,Natural environment
Treatment: Exposition,controlled environment,Experimental
Treatment: Exposition,natural env,Natural environment
Treatment: Exposition period length; duration of exposition,"Natural environment, Herbarium specimen",
Treatment nutrient supply level,natural,
Treatment: Exposition,Control Plot,Control plot
Treatment: Exposition,"natural environment, high regional N and S deposition",Natural environment
Treatment,Control of nutrient supplement experiment,
Treatment exposition culture,natural,
Treatment: arbuscular mycorrhiza fungi (AMF) inoculation,None,
Treatment: seaweed extract,None,
Treatment: arbuscular mycorrhiza fungi (AMF) inoculation,none,
