,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
344201a A. pratensis ssp. pratensis,–,–,–,–,*,S,1,,,,,1,,,
344201b A. pratensis ssp. alpestris,–,–,–,R,F,S,1,,,,,,,,
344202 A. arundinaceus,–,–,–,–,R,F,1,,,,,,,,
344203 A. borealis,S,F,F,F,F,F,1,,,,,,,,
344204 A. stejnegeri,–,–,–,–,R,S,1,,,,,,,,
344205 A. glaucus,–,–,–,–,R,F,1,,,,,,,,
344206 A. aequalis,–,–,–,R,F,F,1,,,,,,,,
344207 A. geniculatus,–,–,–,–,*,F,1,,,1,,,,,
3443 Schizachne,,,,,,,,,,,,,,,3443
344301 S. purpurascens,–,–,–,–,R,F,1,,,,,,,,
3444 Glyceria,,,,,,,,,,,,,,,3444
344401 G. borealis,–,–,–,–,R,F,1,,,,,,,,
344402 G. striata,–,–,–,–,R,F,1,,,,,,,,
344403a G. grandis var. komarovii,–,–,–,–,b,S,1,,1,,,,,,
3445 Pleuropogon,,,,,,,,,,,,,,,3445
344501 P. sabinei,R,F,F,S,–,–,1,1,,,,,,,
3446 Melica,,,,,,,,,,,,,,,3446
344601 M. nutans,–,–,–,–,R,F,1,,,,,,,,
3447 Piptatherum,,,,,,,,,,,,,,,3447
344701 P. canadense,–,–,–,–,R,F,1,,,,,,,,
344702 P. pungens,–,–,–,–,R,F,1,,,,,,,,
3448 Nardus,,,,,,,,,,,,,,,3448
344801 N. stricta,–,–,–,R,F,F,1,,,,,,,,
3449 Molinia,,,,,,,,,,,,,,,3449
344901 M. caerulea,–,–,–,–,R,F,1,,,,,,,,
3450 Danthonia,,,,,,,,,,,,,,,3450
345001 D. intermedia,–,–,–,–,R,S,1,,,,,,,,
345002 D. spicata,–,–,–,–,R,S,1,,,,,,,,
3451 Muhlenbergia,,,,,,,,,,,,,,,3451
345101 M. glomerata,–,–,–,–,b,S,1,,1,,,,,,
35 CERATOPHYLLACEAE,,,,,,,,,,,,,,,
3501 Ceratophyllum,,,,,,,,,,,,,,,3501
350101 C. demersum,–,–,–,–,R,S,1,,,,,,,,
36 RANUNCULACEAE,,,,,,,,,,,,,,,
3601 Caltha,,,,,,,,,,,,,,,3601
360101a C. palustris ssp. palustris,–,–,–,R,F,F,1,,,,,,,,
360101b C. palustris ssp. radicans,–,–,R,F,F,F,1,,,,,,,,
360101c C. palustris ssp. sibirica,–,–,–,–,R,R,1,,,,,,,,
360102 C. natans,–,–,–,R,R,S,1,,,,,,,,
3602 Trollius,,,,,,,,,,,,,,,3602
360201 T. europaeus,–,–,–,R,F,F,1,,,,,,,,
360202 T. x apertus,–,–,–,S,F,F,1,,,,,,,,
360203 T. asiaticus,–,–,R,F,F,F,1,,,,,,,,
360204 T. sibiricus,–,–,–,S,F,F,1,,,,,,,,
360205 T. membranostylis,–,–,–,R,R,S,1,,,,,,,,
360206 T. chartosepalus,–,–,–,R,R,R,1,,,,,,,,
3603 Actaea,,,,,,,,,,,,,,,3603
360301 A. spicata,–,–,–,–,b,F,1,,1,,,,,,
360302 A. erythrocarpa,–,–,–,–,R,F,1,,,,,,,,
360303 A. rubra,–,–,–,–,R,F,1,,,,,,,,
3604 Coptis,,,,,,,,,,,,,,,3604
360401 C. trifolia,–,–,–,R,F,F,1,,,,,,,,
3605 Aquilegia,,,,,,,,,,,,,,,3605
360502 A. brevistyla,–,–,–,–,R,F,1,,,,,,,,
3606 Thalictrum,,,,,,,,,,,,,,,3606
360601 T. alpinum,–,–,R,F,F,F,1,,,,,,,,
360602a T. sparsiflorum ssp. sparsiflorum,–,–,–,–,R,F,1,,,,,,,,
360602b T. sparsiflorum ssp. richardsonii,–,–,–,–,R,F,1,,,,,,,,
360603 T. venulosum,–,–,–,–,b,S,1,,1,,,,,,
360604 T. foetidum,–,–,–,–,b,S,1,,1,,,,,,
360605a T. minus ssp. kemense,–,–,–,R,F,F,1,,,,,,,,
360606a T. simplex ssp. boreale,–,–,–,–,R,F,1,,,,,,,,
360607 T. flavum,–,–,–,–,R,F,1,,,,,,,,
3607 Delphinium,,,,,,,,,,,,,,,3607
360701 D. cheilanthum,–,–,–,–,R,S,1,,,,,,,,
360702 D. chamissonis,–,–,R,F,F,S,1,,,,,,,,
360703a D. brachycentrum ssp. maydellianum,–,–,–,–,S,R,1,,,,,,,,
360704 D. middendorffii,–,–,R,F,F,F,1,,,,,,,,
360705 D. glaucum,–,–,–,–,R,F,1,,,,,,,,
360706a D. elatum ssp. elatum,–,–,–,F,F,F,1,,,,,,,,
360706b D. elatum ssp. cryophilum,–,–,–,R,R,–,1,1,,,,,,,
360707 D. ochotense,–,–,–,–,R,R,1,,,,,,,,
3608 Aconitum,,,,,,,,,,,,,,,3608
360801a A. lycoctonum ssp. septentrionale,–,–,–,–,S,F,1,,,,,,,,
360802 A. baicalense,–,–,–,–,R,S,1,,,,,,,,
360803 A. x stoerkianum,–,–,–,–,*,*,1,,,1,,,,,
360804a A. delphinifolium var. delphinifolium,–,–,–,–,S,F,1,,,,,,,,
360804b A. delphinifolium var. paradoxum,–,–,–,S,F,S,1,,,,,,,,
360805 A. productum,–,–,–,S,F,F,1,,,,,,,,
3609 Anemone,,,,,,,,,,,,,,,3609
360901 A. canadensis,–,–,–,–,R,F,1,,,,,,,,
360902 A. dichotoma,–,–,–,–,R,F,1,,,,,,,,
360903 A. nemorosa,–,–,–,–,R,S,1,,,,,,,1,
360904a A. ranunculoides ssp. jenisseensis,–,–,–,–,b,S,1,,1,,,,,,
360905 A. richardsonii,–,–,–,R,F,F,1,,,,,,,,
360906a A. sylvestris ssp. sylvestris,–,–,–,–,R,F,1,,,,,,,,
360906b A. sylvestris ssp. ochotensis,–,–,–,–,S,F,1,,,,,,,,
360907 A. parviflora,–,–,R,F,F,F,1,,,,,,,,
360908a A. drummondii var. lithophila,–,–,–,–,R,R,1,,,,,,,,
360909 A. multiceps,–,–,–,R,F,F,1,,,,,,,,
360910 A. multifida,–,–,–,–,R,F,1,,,,,,,,
360911 A. biarmiensis,–,–,–,–,b,F,1,,1,,,,,,
360912 A. calva,–,–,–,–,R,R,1,,,,,,,,
360913 A. sibirica,–,–,–,S,F,F,1,,,,,,,,
360914 A. villosissima,–,–,–,–,R,S,1,,,,,,,,
3610 Pulsatilla,,,,,,,,,,,,,,,3610
361001a P. patens ssp. multifida,–,–,?,R,F,F,1,,,,,,,,
361001b P. patens ssp. angustifolia,–,–,–,–,R,F,1,,,,,,,,
361002 P. dahurica,–,–,–,–,R,F,1,,,,,,,,
3611 Clematis,,,,,,,,,,,,,,,3611
361101 C. sibirica,–,–,–,–,R,F,1,,,,,,,,
361102 C. ochotensis,–,–,–,–,R,S,1,,,,,,,,
3612 Oxygraphis,,,,,,,,,,,,,,,3612
361201 O. glacialis,–,R,S,S,S,R,1,,,,,,,,
3613 Ranunculus,,,,,,,,,,,,,,,3613
361301a R. glacialis ssp. glacialis,–,R,F,F,F,F,1,,,,,,,,
361301b R. glacialis ssp. alaskensis,–,–,–,?,R,–,1,1,,,,,,,
361302 R. camissonis,–,–,R,S,S,R,1,,,,,,,,
361303 R. reptans,–,–,?,F,F,F,1,,,,,,,,
361304a R. sceleratus ssp. sceleratus,–,–,–,–,*,S,1,,,1,,,,,
361304b R. sceleratus ssp. reptabundus,–,–,–,–,R,F,1,,,,,,,,
361304c R. sceleratus ssp. multifidus,–,–,–,–,R,F,1,,,,,,,,
361305a R. gmelinii ssp. gmelinii,–,R,S,F,F,F,1,,,,,,,,
361305b R. gmelinii ssp. purshii,–,–,–,–,R,F,1,,,,,,,,
361306a R. hyperboreus ssp. hyperboreus,R,F,F,F,F,F,1,,,,,,,,
361306b R. hyperboreus ssp. arnellii,R,F,F,F,S,R,1,,,,,,,,
361306c R. hyperboreus ssp. tricrenatus,–,–,–,R,R,R,1,,,,,,,,
361307 R. peltatus,–,–,–,–,R,F,1,,,,,,,,
361308 R. aquatilis,–,–,–,–,R,F,1,,,,,,,,
361309 R. confervoides,–,R,S,F,F,F,1,,,,,,,,
361310 R. subrigidus,–,R,R,S,S,S,1,,,,,,,,
361311 R. pygmaeus,F,F,F,F,F,S,1,,,,,,,,
361312 R. sabinei,F,F,F,S,R,–,1,1,,,,,,,
361313 R. nivalis,F,F,F,F,F,S,1,,,,,,,,
361314 R. sulphureus,F,F,F,F,F,S,1,,,,,,,,
361315 R. eschscholtzii (ssp. eschscholtzii),–,–,–,–,R,F,1,,,,,,,,
361316 R. punctatus,–,–,–,–,R,–,1,1,,,,,,,
361317 R. grayi,–,–,R,S,S,R,1,,,,,,,,
361318 R. allenii,–,–,–,R,R,S,1,,,,,,,,
361319 R. arcticus,–,R,F,F,F,S,1,,,,,,,,
361320 R. rigescens,–,–,–,–,R,S,1,,,,,,,,
361321 R. auricomus s. lat.,–,–,R,F,F,F,1,,,,,,,,
361322 R. monophyllos s. lat.,–,–,R,F,F,F,1,,,,,,,,
361323 R. abortivus,–,–,–,–,b,S,1,,1,,,,,,
361324 R. acris,–,–,**,R,F,F,1,,,,,,1,,
361325a R. subborealis ssp. subborealis,–,R,F,F,F,F,1,,,,,,,,
361325b R. subborealis ssp. villosus,–,–,–,–,S,F,1,,,,,,,,
361325c R. subborealis ssp. pumilus,–,–,–,–,S,F,1,,,,,,,,
361326a R. turneri ssp. turneri,–,–,–,R,R,R,1,,,,,,,,
361326b R. turneri ssp. jacuticus,–,–,–,R,S,R,1,,,,,,,,
361327 R. subcorymbosus,–,–,–,–,R,S,1,,,,,,,,
361328 R. repens,–,–,**,*,F,F,1,,,,,,1,,
361329 R. pensylvanicus,–,–,–,–,b,S,1,,1,,,,,,
361330 R. macounii,–,–,–,–,b,S,1,,1,,,,,,
361331 R. pacificus,–,–,–,–,R,F,1,,,,,,,,
3614 Cyrtorhyncha,,,,,,,,,,,,,,,3614
361401 C. cymbalaria,–,–,–,R,S,F,1,,,,,,,,
3615 Coptidium,,,,,,,,,,,,,,,3615
361501 C. lapponicum,–,R,F,F,F,F,1,,,,,,,,
361502 C. x spitsbergense,–,R,S,R,R,–,1,1,,,,,,,
361503 C. pallasii,–,–,R,F,F,S,1,,,,,,,,
37 PAPAVERACEAE,,,,,,,,,,,,,,,
3701 Papaver,,,,,,,,,,,,,,,3701
370101 P. walpolei,–,–,–,R,S,R,1,,,,,,,,
370102 P. gorodkovii,–,–,R,S,R,–,1,1,,,,,,,
370103 P. cornwallisensis,F,F,S,R,–,–,1,1,,,,,,,
370104 P. uschakovii,–,–,R,R,–,–,1,1,,,,,,,
370105 P. calcareum,–,–,R,R,–,–,1,1,,,,,,,
"370106 P. ""murrayi""",–,–,–,R,R,–,1,1,,,,,,,
370107 P. dahlianum,F,F,F,S,R,R,1,,,,,,,,
370108 P. alaskanum,–,–,–,–,R,S,1,,,,,,,,
370109 P. mcconnellii,–,–,–,–,S,S,1,,,,,,,,
370110 P. macounii,–,–,–,–,R,R,1,,,,,,,,
370111 P. anjuicum,–,–,–,–,R,–,1,1,,,,,,,
370112 P. variegatum,–,–,–,–,R,S,1,,,,,,,,
370113 P. keelei,–,–,R,F,F,F,1,,,,,,,,
370114 P. paucistamineum,–,–,R,S,S,R,1,,,,,,,,
370115 P. atrovirens,–,–,R,R,–,–,1,1,,,,,,,
370116a P. microcarpum ssp. microcarpum,–,–,–,R,S,S,1,,,,,,,,
370116b P. microcarpum ssp. czekanowskyi,–,–,–,S,S,R,1,,,,,,,,
370117a P. pulvinatum ssp. pulvinatum,–,–,R,S,S,R,1,,,,,,,,
370117b P. pulvinatum ssp. tschuktschorum,–,–,R,S,S,R,1,,,,,,,,
370118 P. angustifolium,–,–,S,S,S,R,1,,,,,,,,
370119 P. nivale,–,–,–,–,R,S,1,,,,,,,,
"370120 P. ""lenaense""",–,–,–,R,R,–,1,1,,,,,,,
370121 P. leucotrichum,–,–,–,–,R,–,1,1,,,,,,,
370122 P. sp. Khatanga,–,–,–,–,R,R,1,,,,,,,,
370123b P. nudicaule ssp. insulare,–,–,R,R,R,–,1,1,,,,,,,
370124 P. croceum,–,–,–,*,*,*,1,,,1,,,,,
370127 P. labradoricum,–,–,R,F,F,S,1,,,,,,,,
370128 P. detritophilum,–,–,–,–,R,–,1,1,,,,,,,
370129 P. schamurinii,–,–,R,S,S,?,1,?,,,,,,,
370130 P. hypsipetes,–,–,–,–,R,–,1,1,,,,,,,
370131 P. multiradiatum,–,–,R,R,–,–,1,1,,,,,,,
370132 P. chionophilum,–,–,R,S,–,–,1,1,,,,,,,
370133 P. hultenii,–,–,?,F,F,F,1,,,,,,,,
370134 P. sp. Banks,–,–,R,R,–,–,1,1,,,,,,,
370135a P. lapponicum ssp. lapponicum,–,R,S,S,S,S,1,,,,,,,,
370135b P. lapponicum ssp. occidentale,–,S,F,F,F,S,1,,,,,,,,
370135c P. lapponicum ssp. jugoricum,–,–,?,R,S,S,1,,,,,,,,
370135d P. lapponicum ssp. orientale,–,–,?,S,S,S,1,,,,,,,,
370136 P. radicatum (ssp. radicatum),–,–,–,–,R,S,1,,,,,,,,
38 FUMARIACEAE,,,,,,,,,,,,,,,
3801 Dicentra,,,,,,,,,,,,,,,3801
380101 D. peregrina,–,–,–,R,S,F,1,,,,,,,,
3802 Corydalis,,,,,,,,,,,,,,,3802
380201 C. arctica,–,–,?,F,F,F,1,,,,,,,,
380202 C. bracteata,–,–,–,–,b,S,1,,1,,,,,,
380203 C. sibirica,–,–,–,–,R,F,1,,,,,,,,
380204 C. aurea,–,–,–,–,b,F,1,,1,,,,,,
3803 Capnoides,,,,,,,,,,,,,,,3803
380301 C. sempervirens,–,–,–,–,b,F,1,,1,,,,,,
39 DROSERACEAE,,,,,,,,,,,,,,,
3901 Drosera,,,,,,,,,,,,,,,3901
390101 D. rotundifolia,–,–,–,–,R,F,1,,,,,,,,
390102 D. anglica,–,–,–,–,R,F,1,,,,,,,,
390103 D. intermedia,–,–,–,–,b,S,1,,1,,,,,,
40 PLUMBAGINACEAE,,,,,,,,,,,,,,,
4001 Armeria,,,,,,,,,,,,,,,4001
400101 A. maritima,–,–,–,?,S,F,1,,,,,,,,
400102 A. scabra,–,R,F,F,F,S,1,,,,,,,,
41 POLYGONACEAE,,,,,,,,,,,,,,,
4101 Polygonum,,,,,,,,,,,,,,,4101
410101 P. aviculare,–,–,–,–,*,F,1,,,,,1,,,
410102 P. boreale,–,–,**,*,S,F,1,,,,,,1,,
410103 P. neglectum,–,–,–,–,*,*,1,,,1,,,,,
410104 P. microspermum,–,–,–,–,*,*,1,,,1,,,,,
410105a P. humifusum ssp. humifusum,–,–,–,–,S,F,1,,,,,,,,
410105b P. humifusum ssp. caurianum,–,–,–,–,R,R,1,,,,,,,,
410106 P. hudsonianum,–,–,–,–,R,S,1,,,,,,,,
410107a P. raii ssp. norvegicum,–,–,–,–,S,F,1,,,,,,,,
4102 Bistorta,,,,,,,,,,,,,,,4102
410201 B. vivipara,F,F,F,F,F,F,1,,,,,,,,
410202 B. elliptica,–,–,?,F,F,F,1,,,,,,,,
410203 B. plumosa,–,R,F,F,F,F,1,,,,,,,,
4103 Persicaria,,,,,,,,,,,,,,,4103
410301a P. amphibia ssp. amphibia,–,–,–,–,R,F,1,,,,,,,,
410301b P. amphibia ssp. laevimarginata,–,–,–,–,R,F,1,,,,,,,,
4104 Koenigia,,,,,,,,,,,,,,,4104
410401 K. islandica,–,R,F,F,F,F,1,,,,,,,,
4105 Aconogonum,,,,,,,,,,,,,,,4105
410501a A. alaskanum var. alaskanum,–,–,–,R,F,F,1,,,,,,,,
410501b A. alaskanum var. glabrescens,–,–,–,–,S,F,1,,,,,,,,
410502 A. tripterocarpum,–,–,–,F,F,F,1,,,,,,,,
410503 A. ocreatum,–,–,–,F,F,F,1,,,,,,,,
410504 A. ajanense,–,–,–,–,R,F,1,,,,,,,,
4106 Oxyria,,,,,,,,,,,,,,,4106
410601 O. digyna,F,F,F,F,F,F,1,,,,,,,,
4107 Rumex,,,,,,,,,,,,,,,4107
410701 R. longifolius,–,–,**,**,S,F,1,,,,,,1,,
410702 R. crispus,–,–,–,–,*,R,1,,,,,1,,,
410703 R. confertus,–,–,–,–,*,F,1,,,,,1,,,
410704 R. aquaticus,–,–,R,S,S,F,1,,,,1,,,,
410704a R. aquaticus ssp. aquaticus,–,–,–,–,R,F,1,,,,1,,,,
410704b R. aquaticus ssp. protractus,–,–,–,S,S,F,1,,,,,,,,
410705 R. arcticus,–,–,R,F,F,F,1,,,,,,,,
410706 R. pseudonatronatus,–,–,–,–,R,F,1,,,,,,,,
410707 R. occidentalis,–,–,–,–,R,F,1,,,,,,,,
410708 R. gmelinii,–,–,–,–,R,S,1,,,,,,,,
410709 R. sibiricus,–,–,–,–,R,S,1,,,,,,,,
410710 R. hultenii,–,–,–,–,R,S,1,,,,,,,,
410711a R. pallidus ssp. subarcticus,–,–,–,–,R,S,1,,,,,,,,
410712 R. maritimus,–,–,–,–,R,S,1,,,,1,,,,
410713 R. fueginus,–,–,–,–,R,S,1,,,,,,,,
410714a R. acetosa ssp. acetosa,–,–,*,*,S,F,1,,,,1,,,,
410714b R. acetosa ssp. islandicus,–,–,–,–,S,S,1,,,,,,,,
410714c R. acetosa ssp. lapponicus,–,–,R,F,F,F,1,,,,,,,,
410714d R. acetosa ssp. pseudoxyria,–,–,?,F,F,S,1,,,,,,,,
410715 R. thyrsiflorus,–,–,–,R,S,F,1,,,,,,,,
410716 R. oblongifolius,–,–,–,–,R,R,1,,,,,,,,
410717a R. acetosella ssp. acetosella,–,–,**,?,F,F,1,,,,,,1,,
410717b R. acetosella ssp. tenuifolius,–,–,–,–,S,F,1,,,,,,,,
410717c R. acetosella ssp. arenicola,–,?,S,F,F,S,1,,,,,,,,
410718 R. krausei,–,–,–,–,R,R,1,,,,,,,,
410719 R. beringensis,–,–,–,R,S,S,1,,,,,,,,
410720 R. aureostigmaticus,–,–,–,R,S,R,1,,,,,,,,
410721 R. graminifolius,–,–,–,R,S,S,1,,,,,,,,
4108 Rheum,,,,,,,,,,,,,,,4108
410801 R. compactum,–,–,–,–,R,S,1,,,,,,,,
42 CARYOPHYLLACEAE,,,,,,,,,,,,,,,
4201 Stellaria,,,,,,,,,,,,,,,4201
420101 S. media,–,–,**,*,F,F,1,,,,,,1,,
420102 S. bungeana,–,–,–,R,F,F,1,,,,,,,,
420103 S. nemorum (ssp. nemorum),–,–,–,–,R,F,1,,,,,,,,
420104 S. holostea,–,–,–,–,b,S,1,,1,,,,,,
420105 S. crassifolia,–,–,R,S,F,F,1,,,,,,,,
420106 S. humifusa,–,R,F,F,F,F,1,,,,,,,,
420107 S. calycantha,–,–,–,R,S,F,1,,,,,,,,
420108a S. borealis ssp. borealis,–,–,–,F,F,F,1,,,,,,,,
420110 S. graminea,–,–,**,–,S,F,1,,,,,,1,,
420111 S. palustris,–,–,–,R,S,F,1,,,,,,,,
420112 S. fennica,–,–,–,–,S,F,1,,,,,,,,
420113 S. hebecalyx,–,–,–,R,F,F,1,,,,,,,,
420114 S. umbellata,–,–,–,–,R,F,1,,,,,,,,
420115 S. longifolia,–,–,–,–,R,F,1,,,,,,,,
420116 S. longipes s. lat.,F,F,F,F,F,F,1,,,,,,,,
420117 S. alaskana,–,–,–,–,R,S,1,,,,,,,,
420118a S. ruscifolia ssp. aleutica,–,–,–,–,b,S,1,,1,,,,,,
420119 S. eschscholtziana,–,–,–,–,R,F,1,,,,,,,,
420120 S. fischeriana,–,–,–,?,R,S,1,,,,,,,,
420121 S. jacutica,–,–,–,–,R,S,1,,,,,,,,
4202 Cerastium,,,,,,,,,,,,,,,4202
420201 C. cerastoides,–,–,R,F,F,F,1,,,,,,,,
420202 C. maximum,–,R,S,F,F,F,1,,,,,,,,
420203 C. davuricum,–,–,–,S,F,F,1,,,,,,,,
420204a C. arvense ssp. strictum,–,–,–,R,S,F,1,,,,,,,,
420205a C. alpinum ssp. alpinum,–,–,–,S,F,F,1,,,,,,,,
420205b C. alpinum var. glabrum,–,–,–,?,F,F,1,,,,,,,,
"420205c C. alpinum ssp. ""nova""",–,R,F,F,S,?,1,,,,,,,,
420205d C. alpinum ssp. lanatum,–,–,–,R,F,F,1,,,,,,,,
420206a C. nigrescens var. laxum,–,–,–,–,S,F,1,,,,,,,,
420207 C. arcticum,F,F,F,F,S,–,1,1,,,,,,,
420208 C. beeringianum,F,F,F,F,F,F,1,,,,,,,,
420210 C. fischerianum,–,–,–,R,R,F,1,,,,,,,,
420211 C. regelii,F,F,F,F,S,R,1,,,,,,,,
420212 C. jenisejense,–,–,S,F,F,S,1,,,,,,,,
420213a C. fontanum ssp. fontanum,–,–,–,–,F,F,1,,,,,,,,
420213b C. fontanum ssp. vulgare,–,–,**,*,S,F,1,,,,,,1,,
4203 Sagina,,,,,,,,,,,,,,,4203
420301 S. saginoides,–,–,?,S,F,F,1,,,,,,,,
420302 S. procumbens,–,–,R,R,S,F,1,,,,1,,,,
420303 S. subulata,–,–,–,–,R,S,1,,,,,,,,
420304a S. nodosa ssp. borealis,–,–,–,S,F,F,1,,,,,,,,
420305 S. nivalis,R,F,F,F,S,R,1,,,,,,,,
420306 S. caespitosa,–,–,S,F,S,R,1,,,,,,,,
4204 Minuartia,,,,,,,,,,,,,,,4204
420401 M. verna (ssp. verna),–,–,–,?,S,F,1,,,,,,,,
420402 M. rubella,F,F,F,F,F,S,1,,,,,,,,
420403 M. stricta,–,–,R,S,F,F,1,,,,,,,,
420404 M. dawsonensis,–,–,–,–,F,F,1,,,,,,,,
420405 M. rossii,F,F,F,F,R,–,1,1,,,,,,,
420406 M. elegans,–,–,R,F,F,S,1,,,,,,,,
420407 M. macrocarpa,?,S,F,F,F,S,1,,,,,,,,
420408 M. arctica,–,R,F,F,F,S,1,,,,,,,,
420409 M. obtusiloba,–,–,–,R,F,F,1,,,,,,,,
420410 M. yukonensis,–,–,–,–,S,F,1,,,,,,,,
420411 M. biflora,–,R,F,F,F,F,1,,,,,,,,
420412 M. groenlandica,–,–,?,S,F,F,1,,,,,,,,
4205 Cherleria,,,,,,,,,,,,,,,4205
420413 C. dicranoides,–,–,–,R,R,R,1,,,,,,,,
4206 Honckenya,,,,,,,,,,,,,,,4206
420601a H. peploides ssp. diffusa,–,–,S,F,F,F,1,,,,,,,,
420601b H. peploides ssp. major,–,–,–,R,S,F,1,,,,,,,,
4207 Wilhelmsia,,,,,,,,,,,,,,,4207
420701 W. physodes,–,–,–,F,F,F,1,,,,,,,,
4208 Arenaria,,,,,,,,,,,,,,,4208
420801 A. humifusa,–,R,S,F,F,S,1,,,,,,,,
420802 A. longipedunculata,–,–,–,R,R,R,1,,,,,,,,
420803 A. norvegica (ssp. norvegica),–,–,–,–,F,F,1,,,,,,,,
420804 A. pseudofrigida,?,S,F,F,F,S,1,,,,,,,,
4209 Eremogone,,,,,,,,,,,,,,,4209
420901 E. capillaris,–,–,?,F,F,F,1,,,,,,,,
420902 E. formosa,–,–,–,–,R,F,1,,,,,,,,
420903 E. polaris,–,–,R,F,F,S,1,,,,,,,,
420904 E. tschuktschorum,–,–,?,F,F,R,1,,,,,,,,
4210 Moehringia,,,,,,,,,,,,,,,4210
421001 M. lateriflora,–,–,–,?,S,F,1,,,,,,,,
421002 M. macrophylla,–,–,–,–,R,S,1,,,,,,,,
4211 Spergularia,,,,,,,,,,,,,,,4211
421101 S. salina,–,–,–,–,R,F,1,,,,,,,,
421102 S. canadensis,–,–,–,–,R,S,1,,,,,,,,
421103 S. rubra,–,–,–,–,*,S,1,,,1,,,,,
4212 Silene,,,,,,,,,,,,,,,4212
421201 S. tatarica,–,–,–,–,R,S,1,,,,,,,,
421202 S. paucifolia,–,–,?,S,S,S,1,,,,,,,,
421203 S. stenophylla,–,–,?,F,F,F,1,,,,,,,,
421204 S. repens,–,–,?,S,F,F,1,,,,,,,,
421205 S. polaris,–,–,–,–,b,R,1,,1,,,,,,
421206 S. vulgaris (ssp. vulgaris),–,–,–,–,*,*,1,,,,,1,,,
421207 S. uniflora (ssp. uniflora),–,–,–,–,F,F,1,,,,,,,,
421208 S. dioica,–,–,–,–,S,F,1,,,,1,,,,
421209 S. linnaeana,–,–,–,–,b,S,1,,1,,,,,,
421210 S. samojedora,–,–,–,–,R,S,1,,,,,,,,
421211 S. villosula,–,–,?,R,R,R,1,,,,,,,,
421212 S. wahlbergella,–,–,–,–,R,F,1,,,,,,,,
421213 S. uralensis coll.,S,F,F,F,F,S,1,,,,,,,,
421213a S. uralensis ssp. uralensis,–,–,–,R,F,F,1,,,,,,,,
421213b S. uralensis ssp. arctica,S,F,F,S,R,–,1,1,,,,,,,
421214 S. violascens,–,–,–,–,R,S,1,,,,,,,,
421215a S. soczavana var. macrosperma,–,–,?,R,S,F,1,,,,,,,,
421216 S. involucrata coll.,R,F,F,F,F,F,1,,,,,,,,
421216a S. involucrata ssp. involucrata,–,–,?,S,S,S,1,,,,,,,,
421216b S. involucrata ssp. tenella,–,–,?,S,F,F,1,,,,,,,,
421216c S. involucrata ssp. furcata,R,F,F,F,F,R,1,,,,,,,,
421217 S. sorensenis,R,F,F,F,S,–,1,1,,,,,,,
421218 S. ostenfeldii,–,–,–,R,S,S,1,,,,,,,,
421219 S. acaulis,S,F,F,F,F,F,1,,,,,,,,
4213 Viscaria,,,,,,,,,,,,,,,4213
421301 V. alpina,–,–,S,F,F,F,1,,,,,,,,
4214 Gypsophila,,,,,,,,,,,,,,,4214
421401 G. uralensis,–,–,–,–,R,F,1,,,,,,,,
421402 G. sambukii,–,–,–,–,R,F,1,,,,,,,,
4215 Dianthus,,,,,,,,,,,,,,,4215
421501 D. repens,–,–,–,R,F,F,1,,,,,,,,
421502 D. superbus,–,–,–,R,F,F,1,,,,,,,,
43 AMARANTHACEAE,,,,,,,,,,,,,,,
4301 Chenopodium,,,,,,,,,,,,,,,4301
430101 C. album,–,–,**,**,*,S,1,,,,,1,,,
430102 C. karoi,–,–,–,–,R,F,1,,,,,,,,
430103 C. jenissejense,–,–,–,–,R,R,1,,,,,,,,
430104 C. capitatum,–,–,–,–,*,S,1,,,1,,,,,
430105 C. salinum,–,–,–,–,R,S,1,,,,,,,,
430106 C. rubrum,–,–,–,–,*,S,1,,,,,1,,,
4302 Atriplex,,,,,,,,,,,,,,,4302
430201 A. prostrata (ssp. prostrata),–,–,–,–,R,F,1,,,,,,,1,
430202 A. glabriuscula,–,–,–,–,S,F,1,,,,,,,,
430203a A. longipes ssp. praecox,–,–,–,–,S,F,1,,,,,,,,
430204 A. lapponica,–,–,–,–,R,R,1,,,,,,,,
430205 A. gmelinii (ssp. gmelinii),–,–,–,–,R,S,1,,,,,,,,
4303 Corispermum,,,,,,,,,,,,,,,4303
430301 C. crassifolium,–,–,–,–,R,R,1,,,,,,,,
430302 C. ochotense,–,–,–,–,R,S,1,,,,,,,,
4304 Monolepis,,,,,,,,,,,,,,,4304
430401 M. nuttalliana,–,–,–,–,R,S,1,,,,,,,,
430402 M. asiatica,–,–,–,–,R,S,1,,,,,,,,
4305 Salicornia,,,,,,,,,,,,,,,4305
430501 S. rubra,–,–,–,–,R,S,1,,,,,,,,
430502a S. dolichostachya ssp. pojarkovae,–,–,–,–,b,S,1,,1,,,,,,
4306 Suaeda,,,,,,,,,,,,,,,4306
430601 S. maritima,–,–,–,–,R,F,1,,,,,,,,
430602 S. calceoliformis,–,–,–,–,R,S,1,,,,,,,,
44 MONTIACEAE,,,,,,,,,,,,,,,
